,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
6210,Sport Boat,Bryant Boats power boats,"new boat from stock,Unleaded",2019,7.0,2.5,GRP,785,139749.0,Switzerland
6211,"Bowrider,Motor Yacht,Sport Boat",Windy power boats,"Used boat,Diesel",2002,12.35,3.48,GRP,2261,139749.0,Switzerland
6212,Sport Boat,A. Mostes power boats,"Display Model,Unleaded",2019,7.25,2.5,GRP,311,140415.0,Switzerland
6213,Sport Boat,Cranchi power boats,"Used boat,Diesel",2009,12.98,3.46,PVC,76,125190.0,France
6214,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.4,2.5,GRP,138,123452.32,Germany
6215,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,7.4,2.6,GRP,168,138323.76,Switzerland
6216,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2017,9.07,2.99,PVC,138,96300.0,United
6217,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,12.19,3.23,GRP,89,96300.0,United
6218,Classic,Boesch power boats,"Used boat,Unleaded",1980,6.5,2.3,Wood,397,138195.0,Lake
6219,Flybridge,Sealine power boats,"Used boat,Diesel",1996,13.3,3.33,GRP,73,123050.0,Italy
6222,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,11.9,3.96,GRP,280,123050.0,Germany
6223,Offshore Boat,Sunseeker power boats,Used boat,2000,11.85,2.34,GRP,476,123050.0,Switzerland
6224,Flybridge,ACM Dufour power boats,"Used boat,Diesel",2006,11.4,3.71,GRP,67,123050.0,France
6225,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2009,9.1,3.3,PVC,182,123050.0,Greece
6226,Motor Yacht,Polaris power boats,"Used boat,Diesel",1997,13.0,3.85,Steel,108,123050.0,Netherlands
6227,Center console boat,Cayman power boats,"Used boat,Diesel",2002,12.3,4.0,GRP,57,123050.0,Italy
6228,Motor Yacht,Bruno Abbate power boats,"Used boat,Diesel",2001,12.49,3.99,GRP,114,123050.0,Italy
6229,Flybridge,Rodman power boats,"Used boat,Diesel",2005,12.5,4.21,GRP,41,123050.0,Spain
6230,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2006,10.85,3.68,GRP,90,123050.0,Spain
6231,Flybridge,Galeon power boats,"Used boat,Diesel",2004,11.49,3.73,GRP,146,123050.0,Italy
6233,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2007,11.6,3.84,PVC,75,123050.0,France
6234,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2018,9.12,2.98,PVC,28,123050.0,France
6236,Motor Yacht,Monterey power boats,"Used boat,Unleaded",2007,11.5,3.5,GRP,112,123050.0,Netherlands
6238,Motor Yacht,Elan power boats,"Used boat,Diesel",2007,10.5,3.49,GRP,113,123050.0,Italy
6239,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,14.3,4.2,GRP,100,123050.0,Turkey
6240,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2006,9.9,3.2,GRP,109,123050.0,Italy
6242,Hardtop,Cayman power boats,"Used boat,Diesel",2003,12.3,3.93,GRP,58,123050.0,Italy
6243,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2018,9.12,2.94,PVC,35,123050.0,France
6245,Trawler,MBK power boats,"Used boat,Diesel",0,15.0,4.0,Steel,230,122943.0,Germany
6246,Trawler,MBK power boats,"Used boat,Diesel",0,15.0,4.0,Steel,111,122943.0,Germany
6247,Flybridge,Sealine power boats,"Used boat,Diesel",1995,10.5,3.16,GRP,83,122943.0,Germany
6248,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2019,8.9,2.99,PVC,72,122943.0,France
6249,Motor Yacht,Cranchi power boats,new boat from stock,2019,7.85,2.49,GRP,328,122737.56000000001,Italy
6253,Motor Yacht,Bayliner power boats,"new boat from stock,Diesel",2020,8.15,2.55,GRP,111,121926.5,Germany
6254,Sport Boat,Regal power boats,"new boat from stock,Unleaded",0,8.0,2.5,GRP,82,121873.0,Germany
6255,Sport Boat,Regal power boats,"new boat from stock,Unleaded",0,8.0,2.5,GRP,105,121873.0,Germany
6256,Sport Boat,Viper power boats,"Used boat,Unleaded",2018,8.65,2.55,GRP,118,121873.0,Germany
6257,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.6,2.48,PVC,81,121873.0,France
6258,Sport Boat,Windy power boats,"Used boat,Diesel",2001,8.4,2.65,GRP,662,136530.0,Switzerland
6260,Motor Yacht,Quicksilver power boats,"new boat from stock,Unleaded",0,8.91,2.98,GRP,76,121445.0,Germany
6261,Pilothouse,Jeanneau power boats,new boat from stock,2019,8.0,2.0,GRP,63,118020.00000000001,Denmark
6262,Motor Yacht,Sea Ray power boats,"new boat from stock,Unleaded",0,8.1,2.56,GRP,197,121017.0,Germany
6263,Motor Yacht,Doral power boats,"Used boat,Diesel",2007,11.98,3.81,GRP,69,120910.0,INFO
6264,Sport Boat,Sea Ray power boats,new boat from stock,2020,7.9,2.59,GRP,77,120910.0,Germany
6265,Wakeboard/Wakesurf,MasterCraft power boats,Used boat,2016,7.4,2.59,GRP,365,120910.0,Germany
6266,Sport Boat,Airon Marine power boats,Display Model,2017,8.34,2.5,GRP,216,135420.0,Switzerland
6267,Sport Boat,A. Mostes power boats,"Display Model,Unleaded",0,8.1,2.4,GRP,152,135309.0,Switzerland
6268,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2020,7.22,2.5,GRP,476,135309.0,Switzerland
6269,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.9,2.99,GRP,284,120193.1,Switzerland
6270,Sport Boat,Tecnorib power boats,"new boat from stock,Unleaded",2020,8.08,3.12,GRP,429,120182.40000000001,Switzerland
6271,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.42,2.5,GRP,239,134475.39,Switzerland
6272,Flybridge,Recla power boats,"Used boat,Diesel",1992,12.6,4.2,PVC,50,119840.0,France
6274,Flybridge,Carnevali power boats,"Used boat,Diesel",1997,11.99,4.35,GRP,64,119840.0,Italy
6275,Motor Yacht,Invictus power boats,"new boat from stock,Unleaded",2019,8.7,2.7,GRP,433,117700.0,Switzerland
6276,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2005,10.82,3.48,GRP,82,117700.0,Germany
6277,Flybridge,Johnson Yachts power boats,"Used boat,Diesel",1998,16.91,4.92,GRP,194,117700.0,Portugal
6279,Center console boat,Gagliotta power boats,Used boat,2004,10.3,3.5,GRP,20,117700.0,Italy
6280,Sport Boat,Cobalt power boats,"Used boat,Unleaded",2005,11.2,2.9,GRP,119,117700.0,Italy
6281,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2001,11.91,3.75,GRP,50,117700.0,Italy
6282,Motor Yacht,Pursuit power boats,"Used boat,Unleaded",2007,9.5,2.9,GRP,52,117700.0,Italy
6283,Hardtop,Primatist power boats,Used boat,2004,12.4,4.06,GRP,73,117700.0,Italy
6284,Flybridge,ACM Dufour power boats,"Used boat,Diesel",2000,13.25,3.94,PVC,102,117700.0,France
6285,Offshore Boat,Baja power boats,"Used boat,Unleaded",2014,10.4,2.62,GRP,128,117700.0,Spain
6286,Motor Yacht,Colombo power boats,"Used boat,Unleaded",2000,11.68,3.2,GRP,150,117700.0,Italy
6287,Motor Yacht,Ferretti power boats,"Used boat,Diesel",1986,13.88,4.64,GRP,45,117700.0,Italy
6288,Sport Boat,Sunseeker power boats,"Used boat,Diesel",1999,13.11,4.2,GRP,181,117700.0,Spain
6289,Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2010,10.22,3.35,PVC,60,117700.0,France
6291,Center console boat,Boston Whaler power boats,"Used boat,Unleaded",2007,10.0,3.09,GRP,107,117700.0,Italy
6292,Hardtop,Cayman power boats,"Used boat,Diesel",1998,12.3,4.16,GRP,31,117700.0,Italy
6293,Motor Yacht,Polaris power boats,"Used boat,Diesel",1994,12.62,3.9,Steel,192,117700.0,Netherlands
6294,Motor Yacht,SACS power boats,"Used boat,Unleaded",2006,9.99,3.8,GRP,157,117700.0,Spain
6295,Motor Yacht,Hatteras power boats,"Used boat,Diesel",1974,18.0,4.9,GRP,68,117700.0,Italy
6297,Motor Yacht,Polaris power boats,"Used boat,Diesel",1992,13.0,4.0,Steel,151,117700.0,France
6298,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2007,11.1,3.84,GRP,161,117700.0,Portugal
6299,Deck Boat,Cayman power boats,"Used boat,Diesel",1999,12.3,4.16,GRP,37,117700.0,Italy
6300,Motor Yacht,Pershing power boats,Used boat,1999,11.78,3.25,GRP,100,117700.0,Spain
6301,Motor Yacht,Sunseeker power boats,Used boat,1998,13.41,4.11,GRP,239,117700.0,Spain
6302,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2005,12.5,3.5,GRP,153,117700.0,Spain
6303,Motor Yacht,Succes power boats,Diesel,1997,13.0,4.0,Steel,137,117700.0,Germany
6304,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2014,10.22,3.35,GRP,118,117700.0,France
6305,"Flybridge,Motor Yacht",Guy Couach power boats,"Used boat,Diesel",1996,14.0,4.3,Plastic,240,117700.0,France
6306,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2004,12.5,4.0,Plastic,171,117700.0,France
6307,Flybridge,Funcraft power boats,"Used boat,Diesel",1996,12.5,3.9,Steel,66,117165.0,Netherlands
6311,Trawler,Bege power boats,"Used boat,Diesel",2009,10.8,3.45,Steel,76,117165.0,Netherlands
6312,Trawler,Linssen power boats,Used boat,1998,10.1,3.45,Steel,170,117165.0,Netherlands
6313,Trawler,Brandsma power boats,Used boat,2010,10.4,3.72,GRP,98,117165.0,Netherlands
6314,Motor Yacht,Ibiza Boats power boats,new boat from stock,2020,7.7,2.8,GRP,218,131313.0,Switzerland
6315,House Boat,La Mare power boats,new boat from stock,2020,12.0,4.2,GRP,168,116737.0,Germany
6316,Pilothouse,Galia power boats,"new boat from stock,Unleaded",2020,7.64,2.74,GRP,112,116715.6,Switzerland
6318,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2003,10.7,3.35,GRP,127,116630.0,Netherlands
6319,Motor Yacht,Cranchi power boats,Used boat,2014,9.15,2.98,GRP,166,116630.0,Netherlands
6320,"Classic,Sport Boat",Chris Craft power boats,"Used boat,Electric",1958,5.5,2.0,Wood,109,116630.0,Austria
6321,Flybridge,Astor power boats,"Used boat,Diesel",2005,12.0,4.2,GRP,52,116630.0,France
6322,Motor Yacht,Pershing power boats,"Used boat,Diesel",1997,13.2,3.98,GRP,97,116630.0,Netherlands
6323,Trawler,Brandsma power boats,"Used boat,Diesel",2002,10.9,3.93,Steel,90,116630.0,Netherlands
6325,Motor Yacht,ReLine power boats,"Used boat,Diesel",2000,11.47,3.8,Steel,58,116630.0,Netherlands
6326,Motor Yacht,Gruno power boats,"Used boat,Diesel",2004,11.0,3.7,Steel,133,116630.0,Germany
6327,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2000,11.97,3.6,GRP,48,116630.0,Spain
6328,Deck Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.0,2.97,PVC,39,116630.0,France
6329,Trawler,Super van Craft power boats,"Used boat,Diesel",1984,13.2,3.85,Steel,112,116630.0,Netherlands
6331,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2012,9.74,3.42,PVC,75,116630.0,France
6332,Sport Boat,Tornado power boats,"Used boat,Diesel",2007,10.94,3.9,PVC,111,116630.0,France
6334,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2009,10.8,3.6,GRP,64,116630.0,Spain
6335,Hardtop,Bavaria power boats,"Used boat,Diesel",2007,10.85,3.68,GRP,86,116630.0,Italy
6336,Flybridge,Riviera power boats,"Used boat,Diesel",2001,12.48,4.02,GRP,100,116630.0,France
6338,Runabout,Frauscher power boats,"Used boat,Unleaded",2006,7.5,2.25,GRP,157,116630.0,Germany
6339,Flybridge,Fartes power boats,"Used boat,Diesel",2000,11.95,3.9,GRP,120,114490.0,Spain
6342,Hardtop,Jeanneau power boats,"Used boat,Diesel",2012,9.43,3.15,PVC,56,114490.0,France
6343,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2019,9.35,2.99,GRP,176,114490.0,Spain
6344,Cabin Boat,Bayliner power boats,"new boat on order,Unleaded",2021,8.15,2.55,GRP,192,114383.0,Germany
6345,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.12,2.98,GRP,106,114329.5,France
6347,Deck Boat,B̩n̩teau power boats,"Used boat,Unleaded",2018,9.0,2.94,Carbon Fiber,51,113842.65000000001,Spain
6348,Sport Boat,Regal power boats,"Used boat,Unleaded",2020,7.4,2.5,GRP,187,127650.00000000001,Switzerland
6349,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,7.98,2.0,PVC,86,113622.23000000001,Spain
6351,Cabin Boat,Quicksilver power boats,"new boat on order,Unleaded",0,8.91,2.98,GRP,80,112917.1,Germany
6352,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2006,11.9,3.84,GRP,73,112350.0,Portugal
6354,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2001,12.8,3.75,GRP,57,112350.0,Italy
6355,Trawler,Menorquin power boats,"Used boat,Diesel",1999,11.95,3.91,GRP,116,112350.0,Portugal
6356,Flybridge,Galeon power boats,"Used boat,Diesel",2008,9.5,2.99,GRP,111,112350.0,Switzerland
6357,Flybridge,Carnevali power boats,"Used boat,Diesel",2001,11.08,3.75,GRP,36,112350.0,France
6358,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1990,14.17,4.41,GRP,82,112350.0,Italy
6360,Trawler,Chung Hwa power boats,"Used boat,Diesel",1993,11.52,3.95,GRP,125,112350.0,Italy
6361,Flybridge,Sessa power boats,"Used boat,Diesel",2005,9.95,3.49,GRP,83,112350.0,Italy
6362,Motor Yacht,Azimut power boats,"Used boat,Diesel",1995,12.74,4.22,GRP,46,112350.0,Italy
6363,Hardtop,Faeton power boats,"Used boat,Diesel",2006,10.8,3.95,GRP,37,112350.0,Italy
6365,Center console boat,Cayman power boats,"Used boat,Diesel",2002,12.0,4.0,GRP,42,112350.0,Italy
6366,Flybridge,Jeanneau power boats,"Used boat,Diesel",2003,11.6,3.84,GRP,62,112350.0,Spain
6367,Motor Yacht,Astondoa power boats,"Used boat,Diesel",1991,14.22,4.35,GRP,31,112350.0,Spain
6368,Deck Boat,Grady White Boats power boats,"Used boat,Unleaded",2008,9.3,3.23,GRP,49,112350.0,Italy
6369,Pilothouse,Rhea power boats,"Used boat,Diesel",2015,8.5,3.0,PVC,120,112350.0,France
6370,Trawler,Linssen power boats,"Used boat,Diesel",1996,10.1,3.6,Steel,124,112339.3,Germany
6371,Flybridge,Balt Yacht power boats,"new boat from stock,Diesel",2020,10.6,3.0,GRP,184,112330.74,Germany
6372,Sport Boat,Parker power boats,"new boat from stock,Unleaded",0,8.3,2.8,GRP,112,112243.0,Germany
6373,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2021,7.4,2.5,GRP,98,112104.97,Germany
6374,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.42,2.5,GRP,136,125535.45000000001,Switzerland
6375,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,7.4,2.5,GRP,98,111862.08,Germany
6376,Cabin Boat,Viper power boats,"new boat from stock,Diesel",0,8.1,2.55,GRP,106,111601.0,Germany
6377,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,9.0,2.97,PVC,69,111601.0,Spain
6378,Flybridge,Broom power boats,"Used boat,Diesel",1997,10.62,3.76,GRP,103,96300.0,United
6379,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",2006,12.19,3.96,PVC,89,96300.0,United
6380,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,11.58,3.6,GRP,26,96300.0,United
6381,Cabin Boat,Grandezza power boats,"new boat from stock,Unleaded",0,7.53,2.51,GRP,94,111280.0,Germany
6382,Pilothouse,Lamor power boats,"Used boat,Unleaded",2003,7.5,2.6,GRP,20,111280.0,Finland
6383,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2013,10.22,3.35,PVC,183,111280.0,France
6384,Sport Boat,Invictus power boats,"new boat on order,Diesel",2020,8.7,2.7,GRP,146,110978.26000000001,Switzerland
6385,Pilothouse,Parker power boats,"new boat from stock,Unleaded",0,9.2,2.8,GRP,43,110959.0,Germany
6386,Sport Boat,Crownline power boats,"new boat from stock,Unleaded",2019,8.74,2.59,GRP,78,110466.8,Germany
6387,Motor Yacht,B̩n̩teau power boats,"new boat from stock,Unleaded",2021,9.12,2.99,GRP,106,109921.1,Germany
6388,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,8.23,2.55,GRP,96,109675.0,Germany
6389,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.12,2.98,GRP,89,109150.70000000001,France
6390,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.0,2.97,PVC,55,109140.0,Spain
6391,Cabin Boat,Hellingskip power boats,"Used boat,Diesel",2002,11.5,3.98,Steel,188,122100.00000000001,Switzerland
6392,Wakeboard/Wakesurf,Moomba power boats,"new boat on order,Unleaded",2021,6.71,2.5,GRP,292,122100.00000000001,Switzerland
6393,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2006,9.5,3.0,GRP,282,122100.00000000001,Switzerland
6394,Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2017,6.86,2.59,GRP,325,121989.00000000001,Switzerland
6395,Trawler,Linssen power boats,"Used boat,Diesel",1996,8.5,3.0,Steel,306,120990.00000000001,Switzerland
6396,Sport Boat,Crownline power boats,"new boat from stock,Unleaded",2019,8.1,2.59,GRP,68,108605.0,Germany
6397,Motor Yacht,B̩n̩teau power boats,new boat from stock,2020,9.0,2.95,GRP,81,108389.93000000001,France
6398,Bowrider,Bryant Boats power boats,"Display Model,Unleaded",2020,7.0,2.5,GRP,246,121543.89000000001,Switzerland
6399,"Classic,Motor Yacht",Alalunga power boats,"Used boat,Diesel",1979,18.17,5.15,Wood,285,107000.0,Italy
6400,Fishing Boat,Boston Whaler power boats,"Used boat,Unleaded",2010,10.0,3.22,GRP,133,107000.0,Italy
6401,Motor Yacht,Sunseeker power boats,Used boat,1992,14.15,3.3,GRP,92,107000.0,Netherlands
6408,Motor Yacht,Aquanaut power boats,Used boat,1998,10.6,3.5,Steel,104,107000.0,Netherlands
6410,Cabin Boat,Bavaria power boats,"Used boat,Diesel",2006,13.4,4.28,Plastic,991,107000.0,Bulgaria
6412,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,8.05,2.99,GRP,47,106998.93000000001,Germany
6413,Center console boat,Tuccoli power boats,"Display Model,Unleaded",2019,7.77,2.54,GRP,59,106998.93000000001,Italy
6414,Sport Boat,MasterCraft power boats,"new boat from stock,Unleaded",0,6.7,2.48,GRP,110,106989.3,Germany
6415,Offshore Boat,Hustler power boats,"Used boat,Unleaded",2001,10.48,2.5,GRP,97,106989.3,Germany
6416,Trawler,Linssen power boats,Diesel,1993,11.0,3.5,Steel,150,106989.3,Germany
6417,Sport Boat,Parker power boats,"new boat from stock,Unleaded",2019,8.74,2.8,GRP,181,106989.3,Germany
6418,Motor Yacht,Quicksilver power boats,"new boat from stock,Unleaded",0,8.06,3.0,GRP,64,106946.5,Germany
6419,Sport Boat,Nautique power boats,"Used boat,Unleaded",2017,6.55,2.59,GRP,340,119880.00000000001,Switzerland
6420,Flybridge,Jacabo power boats,Used boat,1988,14.0,4.0,Steel,116,106893.0,Netherlands
6422,Motor Yacht,Linssen power boats,"Used boat,Diesel",1992,12.35,3.85,Steel,124,106893.0,Netherlands
6423,Sport Boat,Nordkapp power boats,"new boat from stock,Unleaded",0,8.11,2.5,GRP,200,106893.0,Germany
6425,Sport Boat,Airon Marine power boats,new boat on order,2020,7.6,2.5,GRP,104,106893.0,Germany
6427,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2006,11.8,3.84,GRP,77,106893.0,Italy
6430,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",0,7.6,2.48,Aluminium,102,106561.3,Germany
6433,Motor Yacht,Sunseeker power boats,Used boat,1998,11.9,3.7,GRP,102,106465.0,Netherlands
6434,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2020,8.44,2.87,GRP,108,106465.0,Germany
6435,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1995,16.61,4.57,GRP,166,106465.0,Italy
6436,Trawler,Ijlstervlet power boats,Used boat,2001,10.5,3.7,Steel,58,106465.0,Netherlands
6437,Pilothouse,AXOPAR power boats,Used boat,2017,8.99,2.85,GRP,154,106465.0,Netherlands
6439,Trawler,Valkkruiser power boats,Used boat,1995,12.8,3.85,Steel,100,106465.0,Netherlands
6440,House Boat,Haines Marine power boats,"Used boat,Diesel",2012,10.55,3.81,GRP,153,106465.0,France
6441,Motor Yacht,Balt Yacht power boats,"new boat from stock,Unleaded",2020,10.6,3.0,GRP,328,106454.3,Germany
6442,"Classic,Runabout",Riva power boats,"Used boat,Unleaded",1962,6.0,2.16,Wood,577,105930.0,Switzerland
6444,Trawler,Poldijk Jachtbouw B.V. power boats,"Used boat,Diesel",2008,8.5,3.4,GRP,208,105930.0,Netherlands
6445,Motor Yacht,Striker power boats,Used boat,1976,15.0,4.2,Aluminium,109,105930.0,Netherlands
6446,Center console boat,Raffaelli power boats,"Used boat,Diesel",2001,12.26,3.64,GRP,29,105930.0,Italy
6447,Motor Yacht,Hatteras power boats,"Used boat,Diesel",1976,19.5,4.72,GRP,159,105930.0,Italy
6449,Fishing Boat,Tiara power boats,"Used boat,Diesel",2007,10.03,3.81,GRP,61,105930.0,Italy
6451,Trawler,Menorquin power boats,"Used boat,Diesel",2003,10.45,3.7,PVC,67,105930.0,Spain
6452,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2000,11.58,3.96,GRP,98,105930.0,Germany
6454,Flybridge,Neptunus power boats,"Used boat,Diesel",1991,15.0,4.5,GRP,147,105930.0,Italy
6455,Flybridge,Neptunus power boats,"Used boat,Diesel",1991,15.0,4.5,GRP,62,105930.0,Italy
6458,Motor Yacht,Pershing power boats,"Used boat,Diesel",1999,14.2,4.04,GRP,218,105930.0,Spain
6459,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2000,11.58,3.96,GRP,130,105930.0,Germany
6461,Trawler,Valkkruiser power boats,Used boat,1992,13.0,3.65,Steel,127,105930.0,Netherlands
6462,Cabin Boat,Apreamare power boats,"Used boat,Diesel",1998,13.62,4.43,GRP,168,105930.0,France
6463,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2004,11.95,3.99,GRP,131,105930.0,INFO
6464,Sport Boat,Regal power boats,"Used boat,Unleaded",2013,8.05,2.6,GRP,62,105930.0,France
6465,Motor Yacht,Cantieri Navali Arno power boats,"Used boat,Diesel",1986,19.0,5.25,GRP,104,105930.0,Italy
6466,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,8.5,2.89,PVC,36,105930.0,France
6467,Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",1999,10.6,3.65,Steel,166,105930.0,Germany
6469,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2018,6.93,2.54,GRP,93,105930.0,Spain
6470,Motor Yacht,Boston Whaler power boats,Used boat,2005,9.8,3.09,GRP,104,105930.0,Spain
6471,Hardtop,Jeanneau power boats,"Used boat,Diesel",2007,10.54,3.63,GRP,48,105930.0,INFO
