,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
6472,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2017,8.15,2.55,GRP,392,105930.0,Germany
6473,Flybridge,Neptunus power boats,Used boat,1996,12.9,4.2,GRP,107,105930.0,Netherlands
6475,Motor Yacht,Maxum power boats,"Used boat,Diesel",2004,10.0,3.8,GRP,103,105930.0,Germany
6477,Trawler,Babro power boats,"Used boat,Diesel",2000,11.2,3.75,Steel,146,105930.0,Netherlands
6478,Motor Yacht,Pershing power boats,"Used boat,Diesel",1998,13.2,3.98,PVC,130,105930.0,France
6481,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",2015,8.74,2.55,GRP,248,105930.0,Germany
6483,Flybridge,Princess power boats,"Used boat,Diesel",1999,12.01,3.83,GRP,436,105930.0,Netherlands
6484,Sport Boat,A. Mostes power boats,"new boat from stock,Unleaded",2020,6.7,2.25,GRP,132,118770.00000000001,Switzerland
6485,Sport Boat,MasterCraft power boats,"Used boat,Unleaded",2019,6.8,2.59,GRP,193,105823.0,Germany
6486,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,9.0,2.94,GRP,91,105801.6,Austria
6487,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,7.3,2.6,GRP,196,118651.23000000001,Switzerland
6488,Sport Boat,Invictus power boats,"Display Model,Unleaded",2020,8.7,2.7,GRP,147,105716.0,Switzerland
6489,Motor Yacht,Fairline power boats,"Used boat,Diesel",2004,10.49,3.45,GRP,275,105716.0,Germany
6492,Flybridge,Cranchi power boats,"Used boat,Diesel",1995,12.39,3.84,GRP,109,104860.0,INFO
6493,Flybridge,Hoya power boats,"Used boat,Diesel",1989,13.4,4.32,GRP,86,104860.0,Germany
6494,Motor Yacht,Fairline power boats,"Used boat,Diesel",2000,10.49,3.45,GRP,118,104860.0,Portugal
6496,Bowrider,Four Winns power boats,"Used boat,Unleaded",2015,8.0,2.0,PVC,56,104860.0,Portugal
6498,Sport Boat,Baia power boats,Used boat,1990,14.8,4.4,GRP,62,104860.0,Italy
6499,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,10.5,3.45,GRP,135,104860.0,Spain
6500,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2008,11.98,3.99,GRP,140,104860.0,INFO
6501,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2018,9.0,2.97,GRP,56,104860.0,France
6504,Motor Yacht,Paragon power boats,"Used boat,Diesel",2009,8.52,3.0,GRP,582,104860.0,Netherlands
6507,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2006,11.35,3.84,GRP,125,104860.0,Italy
6508,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2016,8.5,2.99,GRP,317,104860.0,Novi
6509,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2006,12.71,3.75,GRP,72,104860.0,Italy
6510,Sport Boat,Fairline power boats,"Used boat,Diesel",1999,11.8,3.8,Plastic,405,104860.0,Spain
6511,Trawler,Doggersbank power boats,Used boat,1985,12.95,3.85,Steel,107,104860.0,Netherlands
6512,Offshore Boat,Grady White Boats power boats,"Used boat,Gas",1998,9.5,3.3,GRP,146,104860.0,Hungary
6513,Sport Boat,Kaiser Bootsmanufaktur power boats,"Used boat,Electric",2019,6.02,2.15,Wood,243,104860.0,Germany
6514,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2020,6.61,2.5,GRP,256,117549.00000000001,Switzerland
6515,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,7.89,2.59,GRP,80,104753.0,Germany
6519,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,8.06,3.0,GRP,77,104592.5,Germany
6522,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",0,7.89,2.59,GRP,93,103683.0,Germany
6523,Runabout,Comitti power boats,"Used boat,Unleaded",2016,7.8,2.3,GRP,290,103255.0,Switzerland
6524,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",0,10.5,3.28,GRP,67,103009.97,Germany
6525,Launch,Nautica Esposito power boats,"new boat from stock,Diesel",2019,7.31,2.69,GRP,81,102987.5,Spain
6526,Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2020,7.01,2.5,GRP,315,115329.00000000001,Switzerland
6527,Pontoon Boat,Quicksilver (Brunswick Marine) power boats,"Display Model,Unleaded",2018,8.91,2.98,GRP,146,102720.0,Italy
6528,Bowrider,Regal power boats,"new boat from stock,Unleaded",0,7.4,2.5,GRP,64,102720.0,Germany
6529,Sport Boat,Sessa power boats,Used boat,2010,8.93,2.99,GRP,98,102720.0,Kvarner
6531,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2002,10.83,3.84,PVC,159,102720.0,France
6532,Motor Yacht,Sealine power boats,"Used boat,Diesel",2004,10.5,3.35,GRP,233,102720.0,Germany
6534,Cabin Boat,Bayliner power boats,"new boat on order,Unleaded",2020,8.15,2.55,GRP,64,102718.93000000001,Germany
6535,Sport Boat,Cobalt power boats,Used boat,2017,7.26,2.59,GRP,104,102714.65000000001,Spain
6537,Deck Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2018,9.0,2.97,PVC,56,102579.83,Spain
6538,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,8.23,2.99,GRP,118,102495.3,Austria
6539,Sport Boat,Sea Ray power boats,"new boat on order,Unleaded",2021,7.15,2.54,GRP,103,102292.0,Germany
6544,Flybridge,Fairline power boats,"Used boat,Diesel",1993,13.23,4.17,GRP,51,101650.0,Portugal
6546,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,12.26,3.64,GRP,161,101650.0,Italy
6547,Flybridge,Jeanneau power boats,"Used boat,Diesel",2003,10.83,3.84,GRP,143,101650.0,Italy
6548,Trawler,Rhea power boats,"Used boat,Diesel",2012,8.5,3.0,PVC,93,101650.0,France
6549,Motor Yacht,Birchwood power boats,"Used boat,Diesel",2002,10.36,3.42,GRP,131,101650.0,Germany
6551,Trawler,Chung Hwa power boats,Used boat,1976,12.0,4.17,GRP,66,101650.0,Italy
6553,Sport Boat,Novurania power boats,"Used boat,Diesel",2012,9.51,2.97,GRP,84,101650.0,Spain
6556,Bowrider,Sessa power boats,"Used boat,Gas",2016,7.56,2.64,GRP,94,101650.0,Spain
6557,Trawler,Linssen power boats,"Used boat,Diesel",1995,11.5,3.6,Steel,91,101650.0,France
6559,Bowrider,Regal power boats,"Used boat,Unleaded",2018,6.7,2.5,GRP,51,101650.0,France
6561,Motor Yacht,Linssen power boats,"Used boat,Diesel",1997,10.1,3.45,GRP,122,101650.0,Germany
6563,Motor Yacht,Innovazioni e Progetti power boats,Used boat,2002,12.39,3.7,GRP,102,101650.0,Italy
6564,Sport Boat,Sessa power boats,"Used boat,Diesel",2005,10.6,3.53,GRP,37,101650.0,Spain
6566,Motor Yacht,Fiart Mare power boats,Used boat,2000,12.0,4.02,GRP,77,101650.0,Italy
6568,Flybridge,Colombo power boats,"Used boat,Unleaded",1991,9.19,2.96,GRP,57,101650.0,Italy
6569,Motor Yacht,Birchwood power boats,"Used boat,Diesel",2000,10.33,3.33,GRP,58,101650.0,Germany
6570,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,6.0,2.77,PVC,103,101650.0,Spain
6571,Motor Yacht,Tornado power boats,"Used boat,Diesel",2006,10.79,3.86,GRP,84,101650.0,Italy
6572,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2017,9.07,2.99,PVC,105,101650.0,France
6573,Motor Yacht,Tornado power boats,"Used boat,Diesel",2006,10.79,3.86,GRP,104,101650.0,Italy
6575,Sport Boat,Frauscher power boats,"new boat from stock,Electric",0,6.5,2.17,GRP,150,101650.0,Austria
6576,Center console boat,Wellcraft power boats,"Used boat,Unleaded",2006,10.8,3.3,GRP,43,101650.0,France
6577,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2017,8.3,2.55,GRP,112,101650.0,Germany
6579,"Cabin Boat,Flybridge,Motor Yacht",Dellapasqua power boats,"Used boat,Diesel",1996,12.0,3.9,GRP,337,101650.0,Germany
6580,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.1,2.55,GRP,53,100473.0,Austria
6581,Bowrider,Four Winns power boats,"new boat from stock,Unleaded",2019,7.19,2.55,GRP,159,112129.98000000001,Switzerland
6582,Pilothouse,Parker power boats,new boat from stock,2019,6.95,2.55,GRP,232,99851.33,Switzerland
6583,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1989,13.41,3.08,GRP,253,96300.0,France
6584,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,8.03,2.78,PVC,54,99529.26000000001,Spain
6585,"Classic,Motor Yacht",Riva power boats,"Used boat,Unleaded",1956,5.7,1.92,Wood,236,99510.0,Germany
6587,Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",2018,9.0,2.97,PVC,53,99510.0,France
6588,"Classic,Motor Yacht,Sport Boat",Pedrazzini power boats,"Used boat,Unleaded",1961,6.6,2.4,Wood,348,110445.00000000001,Switzerland
6589,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,7.0,2.95,PVC,54,99052.04000000001,Portugal
6590,Pilothouse,B̩n̩teau power boats,new boat from stock,2020,8.81,2.96,PVC,122,99052.04000000001,Portugal
6591,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,8.06,3.0,GRP,268,111055.50000000001,Switzerland
6592,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1998,12.41,3.84,GRP,111,98975.0,Portugal
6594,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1990,15.0,4.5,GRP,107,98975.0,Netherlands
6595,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.0,2.0,PVC,82,98961.09000000001,Portugal
6596,Sport Boat,Monterey power boats,"new boat from stock,Unleaded",2017,7.6,2.6,GRP,107,110889.00000000001,Switzerland
6597,Wakeboard/Wakesurf,Glastron power boats,"new boat from stock,Unleaded",2018,7.37,2.54,GRP,241,98875.49,Switzerland
6598,Motor Yacht,Jeanneau power boats,new boat from stock,2020,10.52,3.2,GRP,117,98729.97,Germany
6599,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,7.48,2.55,GRP,246,98589.8,Germany
6600,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,10.28,3.59,GRP,239,98440.0,Italy
6601,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2009,9.95,3.36,PVC,49,98440.0,France
6602,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,8.37,2.98,PVC,50,98440.0,France
6603,Flybridge,Jeanneau power boats,"Used boat,Diesel",2009,9.9,3.64,GRP,65,98440.0,Italy
6605,Motor Yacht,Fiart Mare power boats,"Used boat,Diesel",2009,10.58,3.54,GRP,69,98440.0,Italy
6606,"Cabin Boat,Classic",Nordic power boats,"Used boat,Diesel",2010,7.35,2.45,GRP,281,98440.0,Denmark
6607,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,8.91,2.98,GRP,223,98438.93000000001,Germany
6608,Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,8.03,2.78,PVC,72,98422.88,Spain
6609,Sport Boat,Sessa power boats,"Used boat,Diesel",2008,10.63,3.53,PVC,47,98333.0,France
6611,"Classic,Runabout",Riva power boats,Used boat,0,6.0,2.16,Wood,350,109890.00000000001,Switzerland
6613,Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,9.07,3.33,GRP,134,96300.0,Italy
6614,Fishing Boat,Boston Whaler power boats,"Used boat,Unleaded",2008,8.51,2.9,GRP,39,96300.0,Italy
6615,Pilothouse,Sealine power boats,"Used boat,Diesel",2001,11.3,3.68,GRP,212,96300.0,Italy
6616,Flybridge,Jeanneau power boats,"Used boat,Diesel",2005,9.76,4.0,GRP,88,96300.0,Spain
6617,Hardtop,Jeanneau power boats,"Used boat,Diesel",2011,9.77,3.38,PVC,64,96300.0,France
